loan_id,application_date,loan_amount,interest_rate,term_months,loan_status,customer_income,customer_credit_score,employment_length
1435,2035-03-14,37714.01,3.69,36,Approved,139979.05,584,3-5 years
1436,2036-02-17,28629.3,8.56,48,Rejected,-143114.65,405,>10 years
1437,2035-06-10,14095.96,6.46,36,Rejected,108815.72,803,<1 year
1438,2036-01-23,23984.53,16.66,60,Pending,47477.66,345,>10 years
1439,2025-10-04,17021.94,07.08,60,Approved,25164.79,746,3-5 years
1440,2029-11-19,29176.01,14.87,12,Defaulted,39136.03,443,<1 year
1441,2032-08-27,44505.53,16.19,60,Pending,145521.1,836,3-5 years
1442,2035-10-26,28680.6,9.91,60,Rejected,80072.59,361,<1 year
1443,2026-06-01,31770.26,4.25,24,Approved,131148.18,381,3-5 years
1444,2033-09-07,26178.02,4.3,24,Approved,80455.74,635,5-10 years
1445,2026-12-06,3032.69,04.07,36,Rejected,105906.29,510,>10 years
1446,2024-07-25,12026.5,19.39,36,Approved,23138.3,699,<1 year
1447,2029-07-10,24854.09,10.34,24,Pending,52482.44,646,>10 years
1448,2026-05-30,15856.65,20.62,12,Approved,76715.01,497,<1 year
1449,2028-09-15,9497.3,12.78,24,Rejected,101982.04,676,<1 year
1450,2023-10-05,25454.58,13.24,36,Approved,42297.75,461,<1 year
1451,2028-03-02,16479.08,14.53,48,Approved,119391.69,507,3-5 years
1452,2035-07-16,13276.33,18.83,60,Defaulted,67372.61,726,1-3 years
1453,2026-06-19,23467.28,9.38,48,Pending,126266.59,343,3-5 years
1454,2036-03-19,7097.57,6.11,48,Approved,32735.98,790,1-3 years
1455,2025-11-06,46423.41,15.46,60,Approved,108368.36,578,3-5 years
1456,2025-07-06,43451.25,10.53,24,Defaulted,58132.68,445,1-3 years
1457,2025-06-04,35527.22,13.01,12,Approved,123399.81,368,<1 year
1458,2030-07-15,5757.58,17.41,48,Pending,72282.16,821,<1 year
1459,2023-01-22,38905.92,14.12,12,Approved,106495.45,-50,1-3 years
1460,2035-07-06,40493.89,16.84,36,Rejected,141459.68,848,1-3 years
1461,2031-09-27,38504.35,15.2,48,Rejected,22681.46,354,>10 years
1462,2029-06-11,6141.31,19.41,36,Pending,21445.18,522,<1 year
1463,2036-02-21,32373.44,18.68,24,Approved,120136.3,823,3-5 years
1464,2024-11-17,41799.08,14.99,48,Rejected,104031.1,445,>10 years
1465,2023-10-12,29078.99,18.1,36,Approved,58087.36,563,1-3 years
1466,2036-03-04,32497.17,22.28,36,Defaulted,84271.57,843,3-5 years
1467,2033-04-05,23188.99,12.79,24,Approved,25451.64,767,5-10 years
1468,2025-02-01,26671.01,12.37,12,Pending,45017.93,486,5-10 years
1469,2029-08-25,2201.65,19.93,12,Approved,75184.53,642,5-10 years
1470,2029-11-12,32128.67,16.02,48,Rejected,128425.77,398,3-5 years
1471,2023-01-29,4531.64,05.03,24,Approved,82356.73,605,1-3 years
1472,2025-06-25,22033.22,22.68,48,Approved,96227.13,498,3-5 years
1473,2031-07-02,14986.43,4.16,12,Approved,133587.99,453,>10 years
1474,2033-12-13,27498.68,19.59,24,Approved,60146.46,395,>10 years
1475,2031-03-14,7104.11,19.81,60,Approved,111090.91,658,5-10 years
1476,2029-11-11,,23.99,24,Approved,132016.74,698,1-3 years
1477,2035-10-10,39853.07,4.66,24,Rejected,46340.04,675,>10 years
1478,2032-11-18,8586.05,16.33,60,Approved,66342.16,627,<1 year
1479,2032-09-23,5663.5,12.7,36,Rejected,147375.32,571,<1 year
1480,2026-12-24,7703.02,10.61,36,Approved,147818.41,594,5-10 years
1481,2036-03-26,43917.81,5.44,36,Pending,49019.89,694,5-10 years
1482,2032-03-10,26645.37,15.6,12,Approved,28637.96,771,5-10 years
1483,2024-05-30,23629.42,13.8,24,Defaulted,55219.81,847,>10 years
1484,2023-02-08,,,60,Rejected,71705.15,317,1-3 years
1485,2032-02-25,32653.02,16.67,12,Approved,77330.73,376,5-10 years
1486,2025-06-05,43465.98,19.37,60,Rejected,100444.82,348,3-5 years
1487,2030-10-15,41495.2,20.0,12,Approved,136935.36,797,5-10 years
1488,2029-01-13,31489.71,22.97,12,Pending,62945.24,725,>10 years
1489,2026-01-03,4226.3,12.3,12,Approved,130497.99,428,1-3 years
1490,2027-12-29,6063.65,23.99,60,Approved,32152.26,818,5-10 years
1491,2031-10-07,2940.79,22.11,48,Approved,25443.71,603,<1 year
1492,2031-08-22,13245.22,9.87,12,Rejected,85525.87,411,5-10 years
1493,2031-06-21,7215.24,6.92,36,Approved,27756.09,662,5-10 years
1494,2032-08-31,13372.38,12.86,24,Rejected,71023.67,-50,1-3 years
1495,2033-05-06,19560.37,12.14,48,Pending,136581.16,330,3-5 years
1496,2030-12-06,47177.65,15.88,48,Approved,51392.79,594,5-10 years
1497,2032-06-15,30713.61,16.04,60,Rejected,111776.85,618,5-10 years
1498,2032-08-12,41831.2,19.62,48,Rejected,59307.5,313,>10 years
1499,2025-09-15,35662.4,14.46,60,Defaulted,25839.61,541,1-3 years
1500,2034-04-09,6068.9,5.75,60,Pending,92369.78,652,>10 years
1501,2036-08-04,36928.06,21.95,36,Rejected,128530.95,547,5-10 years
1502,2034-01-09,14117.39,10.16,12,Rejected,-73230.9,767,5-10 years
1503,2034-06-11,32135.84,24.38,48,Approved,100248.2,-50,<1 year
1504,2027-08-10,17377.62,06.03,12,Approved,137003.07,741,>10 years
1505,2035-10-10,49884.78,24.1,12,Approved,122660.29,641,1-3 years
1506,2033-11-07,13545.8,5.46,12,Approved,45203.93,815,5-10 years
1507,2025-07-22,14316.96,8.47,60,Approved,115339.91,344,<1 year
1508,2032-11-07,46568.28,4.5,12,Defaulted,85246.09,718,<1 year
1509,2031-11-08,1719.9,18.66,48,Approved,116975.69,502,3-5 years
1510,2028-06-03,34986.1,21.78,60,Rejected,84287.02,838,1-3 years
1511,2028-01-30,36403.66,12.83,48,Pending,36634.56,685,<1 year
1512,2031-05-15,41900.74,23.46,60,Approved,94088.23,659,1-3 years
1513,2025-03-03,48734.75,16.19,24,Approved,83977.42,767,5-10 years
1514,2025-03-02,48792.29,17.05,24,Pending,87329.83,504,3-5 years
1515,2027-12-15,3731.2,21.68,24,Rejected,134257.32,546,1-3 years
1516,2029-03-05,41181.05,9.88,24,Defaulted,136328.82,348,3-5 years
1517,2032-11-19,32492.34,11.12,60,Approved,78959.82,665,1-3 years
1518,2027-05-27,32543.44,22.98,12,Rejected,79245.17,552,1-3 years
1519,2025-09-11,6853.32,22.87,36,Approved,86974.3,377,>10 years
1520,2033-01-24,32684.26,24.49,36,Pending,87546.61,716,3-5 years
1521,2032-04-03,49132.89,22.89,24,Pending,143550.33,334,1-3 years
1522,2024-06-03,45635.02,6.24,12,Approved,104422.06,737,>10 years
1523,2024-08-13,22236.97,21.21,48,Approved,56069.41,611,>10 years
1524,2025-11-16,2477.42,12.31,12,Approved,89099.78,442,3-5 years
1525,2032-12-12,18433.53,24.8,48,Approved,101539.07,496,5-10 years
1526,2035-03-03,41406.32,13.65,36,Rejected,103170.32,559,3-5 years
1527,2025-08-17,35224.21,15.41,12,Approved,96083.05,665,1-3 years
1528,2024-11-23,23237.51,14.89,12,Pending,43105.7,491,5-10 years
1529,2033-09-04,3227.53,10.42,36,Approved,24367.11,786,3-5 years
1530,2035-04-01,21631.29,5.11,12,Rejected,63919.6,833,3-5 years
1531,2031-01-25,23716.73,22.76,48,Rejected,75577.88,323,3-5 years
1532,2024-06-10,46463.5,20.76,12,Rejected,28034.55,374,3-5 years
1533,2031-10-30,32233.76,6.5,48,Pending,125945.75,693,5-10 years
1534,2029-03-03,15926.82,20.2,24,Approved,64730.07,757,1-3 years
1535,2032-02-27,26503.25,16.96,12,Rejected,138772.26,409,>10 years
1536,2033-11-09,3769.74,12.3,48,Approved,40073.31,389,3-5 years
1537,2028-02-19,48642.13,8.96,36,Approved,27401.54,336,>10 years
1538,2027-10-30,499733.0,21.98,24,Approved,82701.09,606,>10 years
1539,2024-06-04,24154.43,18.55,12,Pending,44586.81,361,>10 years
1540,2025-10-13,18086.56,15.28,48,Pending,141861.91,604,3-5 years
1541,2023-04-27,34284.33,16.61,12,Pending,21339.44,478,3-5 years
1542,2029-08-30,33280.49,5.46,48,Approved,73640.56,839,3-5 years
1543,2024-08-06,35908.45,13.69,12,Approved,140477.21,743,3-5 years
1544,2024-01-30,13773.09,7.66,24,Defaulted,69974.37,818,<1 year
1545,2033-05-16,16125.59,7.98,24,Pending,32104.21,335,1-3 years
1546,2030-07-31,6699.94,17.72,12,Approved,59376.34,777,<1 year
1547,2034-05-30,32947.74,23.09,12,Pending,84741.35,372,5-10 years
1548,2033-07-27,499733.0,12.18,60,Approved,44069.72,329,<1 year
1549,2023-10-01,30085.28,,12,Approved,80653.02,602,<1 year
1550,2028-07-06,43549.95,17.45,12,Approved,128724.62,646,<1 year
1551,2035-02-20,,22.23,24,Approved,133440.34,810,1-3 years
1552,2026-10-21,22727.37,19.59,12,Approved,26403.9,816,>10 years
1553,2032-10-06,23235.53,22.18,36,Rejected,-40917.44,364,5-10 years
1554,2035-11-16,4309.97,15.04,12,Pending,55787.72,752,5-10 years
1555,2023-06-15,33702.87,19.67,60,Approved,97332.56,828,1-3 years
1556,2027-04-17,41152.34,6.51,48,Pending,66929.32,668,<1 year
1557,2024-12-29,12610.43,10.99,24,Defaulted,129725.32,336,>10 years
1558,2028-08-05,21354.39,11.88,36,Approved,113167.34,680,3-5 years
1559,2034-06-29,42022.55,14.49,48,Rejected,33059.28,518,1-3 years
1560,2032-07-28,43917.46,23.48,36,Pending,101192.48,545,>10 years
1561,2025-02-17,12537.41,22.3,24,Approved,34691.64,849,1-3 years
1562,2023-08-02,27753.25,6.39,60,Approved,53154.64,550,1-3 years
1563,2033-04-20,10028.41,7.21,24,Approved,43123.18,645,3-5 years
1564,2027-04-26,5543.0,11.19,36,Pending,42498.05,771,>10 years
1565,2029-09-14,45600.46,9.75,36,Approved,100131.42,421,<1 year
1566,2031-01-15,41115.12,16.72,24,Pending,93268.64,625,>10 years
1567,2031-07-15,38121.73,22.91,12,Pending,42883.66,827,>10 years
1568,2024-08-14,2913.93,24.19,24,Approved,148722.46,420,<1 year
1569,2030-06-13,42264.58,17.55,60,Rejected,74838.78,438,3-5 years
1570,2024-12-14,,21.52,24,Rejected,32619.01,386,>10 years
1571,2025-07-24,17448.56,14.79,48,Approved,35673.97,429,<1 year
1572,2034-11-16,27550.58,7.98,12,Defaulted,95906.18,551,1-3 years
1573,2023-01-02,5021.99,14.78,48,Approved,147279.02,659,1-3 years
1574,2030-10-19,37954.0,15.43,24,Approved,94353.64,729,<1 year
1575,2034-01-27,29330.54,19.46,12,Approved,143375.39,346,1-3 years
1576,2028-05-03,9736.21,8.23,48,Pending,77737.27,800,>10 years
1577,2025-07-06,9817.49,11.42,48,Pending,76659.34,724,<1 year
1578,2031-09-10,9620.31,11.33,12,Approved,85000.96,674,>10 years
1579,2029-02-19,3321.62,24.13,12,Approved,110665.31,410,5-10 years
1580,2023-03-31,29596.02,13.04,36,Approved,67790.08,526,3-5 years
1581,2027-09-06,,19.73,12,Rejected,132305.18,338,3-5 years
1582,2028-12-09,1366.16,19.64,24,Rejected,23806.58,434,3-5 years
1583,2034-08-09,2925.73,9.21,60,Pending,77169.35,594,<1 year
1584,2031-04-30,28852.13,15.8,36,Pending,86428.94,2000,5-10 years
1585,2023-04-16,41065.04,22.73,12,Pending,98914.19,727,3-5 years
1586,2025-06-05,16673.58,,60,Approved,55889.35,367,>10 years
1587,2024-03-03,17805.91,23.82,36,Approved,75572.4,498,3-5 years
1588,2028-03-10,30019.15,8.11,24,Pending,82989.91,558,5-10 years
1589,2023-11-13,14073.54,05.09,60,Pending,109298.3,436,>10 years
1590,2024-09-26,1817.11,22.67,12,Approved,120560.74,680,>10 years
1591,2028-04-09,36893.81,21.73,12,Defaulted,115917.55,823,<1 year
1592,2028-08-18,31469.67,24.84,24,Rejected,64405.8,537,<1 year
1593,2031-08-11,29247.42,18.11,36,Approved,149928.57,583,1-3 years
1594,2029-03-20,37213.36,23.64,60,Pending,130326.49,757,5-10 years
1595,2026-12-10,33923.93,21.28,24,Defaulted,53803.04,434,>10 years
1596,2024-07-06,10691.16,21.66,36,Approved,45363.75,381,5-10 years
1597,2024-12-16,17947.81,15.74,48,Pending,60822.76,508,3-5 years
1598,2033-09-16,6742.45,11.72,48,Approved,78804.83,702,3-5 years
1599,2027-09-10,6927.92,23.59,36,Approved,130603.92,487,1-3 years
1600,2032-04-12,33971.69,12.79,12,Rejected,121187.09,792,>10 years
1601,2026-01-12,43000.71,15.08,12,Approved,130662.0,554,>10 years
1602,2034-07-08,48155.26,13.09,48,Approved,55354.42,622,1-3 years
1603,2023-09-08,31603.18,15.64,12,Approved,97149.96,724,3-5 years
1604,2029-08-27,9613.02,13.62,12,Approved,56822.38,714,>10 years
1605,2028-08-16,5729.69,4.53,36,Approved,34173.01,466,5-10 years
1606,2024-04-03,40736.12,22.46,36,Rejected,108945.71,784,>10 years
1607,2023-07-27,29148.45,13.05,12,Approved,38589.68,735,3-5 years
1608,2025-06-18,31105.11,16.16,36,Pending,106800.71,831,>10 years
1609,2032-06-23,39182.37,6.49,60,Pending,104235.36,780,>10 years
1610,2032-04-08,499733.0,3.57,48,Approved,-125332.3,479,<1 year
1611,2023-01-22,41805.68,8.77,60,Pending,38142.1,370,>10 years
1612,2024-02-14,3282.59,18.65,60,Pending,121852.42,740,1-3 years
1613,2025-06-13,37502.27,5.63,12,Approved,149905.95,438,1-3 years
1614,2024-05-29,42617.21,23.04,12,Approved,130635.52,401,5-10 years
1615,2036-06-05,14663.68,8.12,60,Pending,117735.57,767,>10 years
1616,2036-08-09,32202.14,7.9,60,Defaulted,106081.5,582,5-10 years
1617,2034-04-02,16051.02,7.4,24,Approved,74831.59,328,3-5 years
1618,2028-11-04,47919.57,3.8,24,Approved,114965.02,317,3-5 years
1619,2032-11-04,2154.47,20.09,48,Approved,114143.14,807,<1 year
1620,2031-02-04,29199.75,22.31,60,Approved,102094.78,319,<1 year
1621,2027-04-10,8741.93,16.7,36,Pending,123516.19,625,>10 years
1622,2026-06-20,35754.9,7.55,24,Approved,78339.31,655,>10 years
1623,2028-12-09,9206.57,9.63,12,Approved,35762.85,-50,5-10 years
1624,2032-12-17,12151.47,13.73,60,Approved,92678.8,698,5-10 years
1625,2025-01-19,24971.36,24.02,36,Approved,54455.66,317,>10 years
1626,2032-05-20,45784.33,8.82,36,Approved,69976.3,849,>10 years
1627,2036-02-02,,19.23,36,Approved,22263.94,675,<1 year
1628,2028-04-11,7639.88,12.95,12,Approved,69762.78,639,<1 year
1629,2033-06-01,38069.35,9.9,24,Rejected,125144.14,449,<1 year
1630,2033-02-19,25280.67,13.3,36,Defaulted,90553.91,532,>10 years
1631,2029-06-14,45633.36,05.03,24,Approved,21274.07,403,5-10 years
1632,2036-02-12,7757.42,20.67,48,Pending,81079.7,520,1-3 years
1633,2029-05-24,32473.43,8.73,12,Approved,57888.71,325,1-3 years
1634,2023-11-03,12027.52,19.1,24,Approved,82081.59,363,5-10 years
1635,2033-01-13,8259.64,4.97,24,Approved,72610.05,553,5-10 years
1636,2028-06-12,34329.76,24.03,36,Approved,141157.3,548,5-10 years
1637,2024-10-23,,7.65,36,Rejected,25353.05,430,<1 year
1638,2035-09-19,37863.96,22.48,12,Approved,108866.44,329,3-5 years
1639,2023-11-08,15818.4,20.9,24,Approved,130633.46,309,>10 years
1640,2030-12-30,22674.6,24.31,60,Rejected,144701.02,388,<1 year
1641,2025-12-18,499733.0,13.77,36,Pending,43092.71,729,1-3 years
1642,2031-02-19,49212.43,19.14,36,Approved,89069.62,446,>10 years
1643,2025-01-24,14966.32,11.47,48,Approved,25666.65,426,5-10 years
1644,2034-04-23,15093.45,7.46,12,Approved,84893.86,423,1-3 years
1645,2035-06-07,18050.14,13.03,24,Approved,36309.55,640,5-10 years
1646,2023-12-19,28447.41,07.06,24,Approved,128926.57,817,5-10 years
1647,2025-06-21,12989.98,24.61,24,Approved,34803.1,350,5-10 years
1648,2033-08-24,45806.85,5.57,36,Pending,86727.49,697,>10 years
1649,2023-06-08,13651.44,16.17,12,Pending,-87742.49,613,1-3 years
1650,2028-05-31,44842.88,16.97,24,Rejected,146314.56,813,1-3 years
1651,2025-08-14,5622.02,15.07,60,Approved,105147.49,801,5-10 years
1652,2028-09-02,32999.85,17.74,48,Approved,57419.24,829,<1 year
1653,2024-02-08,499733.0,6.0,48,Approved,51303.91,718,3-5 years
1654,2035-08-17,8853.1,15.43,24,Pending,36672.27,493,<1 year
1655,2030-08-11,48432.18,9.68,36,Approved,118346.91,611,>10 years
1656,2026-10-19,22917.73,23.71,48,Rejected,109798.37,598,3-5 years
1657,2032-06-15,47312.9,19.88,48,Pending,99284.03,628,<1 year
1658,2025-08-13,34002.59,24.41,48,Rejected,25309.26,775,1-3 years
1659,2027-09-09,15428.55,4.31,48,Rejected,119167.75,416,<1 year
1660,2035-11-17,9820.97,9.63,24,Defaulted,103445.39,563,5-10 years
1661,2026-06-27,15534.88,7.7,12,Pending,145305.55,816,>10 years
1662,2033-06-08,5104.36,3.74,12,Defaulted,96336.28,818,<1 year
1663,2030-03-10,7621.46,8.71,36,Approved,59513.75,320,<1 year
1664,2029-07-10,5680.69,18.09,60,Approved,69597.67,776,3-5 years
1665,2026-12-12,21435.71,8.47,12,Pending,42859.29,848,5-10 years
1666,2031-02-27,39881.13,14.44,60,Defaulted,113978.84,472,3-5 years
1667,2027-12-03,7498.49,22.59,12,Approved,112003.82,361,>10 years
1668,2035-01-08,6950.86,18.42,12,Approved,46084.5,505,>10 years
1669,2033-12-23,32349.73,11.98,36,Pending,40603.61,478,5-10 years
1670,2036-04-12,10260.56,11.51,48,Pending,30010.64,641,3-5 years
1671,2026-10-26,5331.7,13.3,36,Approved,138556.85,739,5-10 years
1672,2034-09-21,8759.0,7.31,12,Rejected,50299.08,374,3-5 years
1673,2026-06-23,46224.7,17.13,48,Defaulted,64741.26,589,1-3 years
1674,2035-12-16,41162.83,11.33,48,Rejected,56465.59,443,5-10 years
1675,2033-03-03,18026.2,21.83,48,Approved,73771.2,507,>10 years
1676,2024-06-13,32963.13,19.77,60,Approved,112826.34,571,3-5 years
1677,2032-12-02,27095.15,16.63,12,Approved,133177.43,714,1-3 years
1678,2031-02-06,34017.65,11.33,24,Approved,43737.84,696,>10 years
1679,2030-12-24,34292.22,08.01,36,Approved,109233.6,683,3-5 years
1680,2036-05-21,31622.33,20.19,60,Rejected,65833.08,560,1-3 years
1681,2032-10-31,13672.02,13.96,36,Approved,147468.53,466,>10 years
1682,2028-11-17,2430.82,8.33,24,Rejected,58859.49,317,>10 years
1683,2035-07-10,23050.56,7.7,48,Defaulted,20935.08,546,1-3 years
1684,2032-03-23,44603.21,07.06,24,Approved,87033.2,595,>10 years
1685,2025-07-28,28690.11,20.21,36,Defaulted,39595.04,713,3-5 years
1686,2024-06-09,41703.36,8.42,24,Rejected,25784.28,619,3-5 years
1687,2023-01-02,49585.4,14.82,12,Pending,110775.0,480,>10 years
1688,2024-01-10,8599.0,13.21,24,Approved,115193.71,595,<1 year
1689,2029-05-29,34742.99,15.96,12,Pending,79890.87,360,1-3 years
1690,2033-12-19,33877.53,22.36,24,Approved,107995.12,508,<1 year
1691,2031-05-11,49007.79,22.16,12,Pending,89971.13,465,3-5 years
1692,2035-09-23,49287.24,13.2,12,Approved,101874.14,599,>10 years
1693,2029-06-23,34490.59,3.83,24,Pending,97571.52,650,5-10 years
1694,2027-03-06,12558.93,12.67,60,Approved,-106556.96,360,5-10 years
1695,2035-04-04,40028.51,16.53,48,Approved,45951.98,562,<1 year
1696,2027-07-05,5797.94,15.49,48,Pending,54931.86,423,<1 year
1697,2023-01-14,39144.62,17.5,48,Pending,77195.21,537,<1 year
1698,2035-08-05,45554.71,6.81,12,Approved,77996.64,841,3-5 years
1699,2029-03-28,19450.25,17.4,48,Approved,120673.52,389,3-5 years
1700,2031-08-22,31716.45,7.43,12,Rejected,67761.18,438,>10 years
1701,2023-05-10,21792.07,19.64,60,Pending,41125.67,661,3-5 years
1702,2033-06-11,22169.37,10.79,24,Approved,-52690.58,712,>10 years
1703,2036-07-04,15863.36,18.76,24,Pending,47915.36,392,>10 years
1704,2031-10-22,38225.42,4.53,12,Approved,115115.8,433,<1 year
1705,2031-01-17,46840.74,12.27,12,Approved,81144.15,503,5-10 years
1706,2033-10-03,47067.17,18.66,60,Pending,112121.99,337,<1 year
1707,2028-08-02,9151.67,8.38,48,Rejected,74108.56,756,3-5 years
1708,2023-01-28,43799.81,20.6,60,Rejected,135665.63,833,1-3 years
1709,2028-10-14,37002.86,17.06,24,Approved,147857.64,737,3-5 years
1710,2026-06-06,13015.45,16.13,24,Rejected,107079.53,523,5-10 years
1711,2034-12-05,3830.59,11.1,48,Approved,132295.63,467,3-5 years
1712,2028-08-08,13765.86,13.87,24,Defaulted,86031.32,406,5-10 years
1713,2035-06-22,45654.31,16.34,12,Approved,141500.71,679,1-3 years
1714,2034-01-06,31842.34,13.66,24,Approved,128106.24,323,1-3 years
1715,2035-01-14,36192.21,18.51,36,Pending,148931.21,810,>10 years
1716,2032-03-28,13229.04,12.82,48,Approved,101002.19,606,3-5 years
1717,2032-06-28,36109.71,7.85,48,Rejected,121296.88,657,>10 years
1718,2031-06-09,1892.01,8.1,48,Pending,90572.86,669,<1 year
1719,2033-05-06,19078.41,3.62,36,Approved,53685.61,470,<1 year
1720,2024-09-21,31524.29,9.97,60,Pending,66118.17,521,<1 year
1721,2023-09-27,7731.78,19.6,12,Approved,136220.7,742,<1 year
1722,2030-03-24,41238.68,20.57,48,Approved,27273.23,452,<1 year
1723,2028-06-16,12134.05,,24,Defaulted,96892.39,675,3-5 years
1724,2030-12-01,32787.92,24.12,12,Rejected,68422.92,580,>10 years
1725,2036-07-28,20557.26,14.3,24,Approved,70270.03,518,>10 years
1726,2032-05-25,30004.16,23.22,12,Pending,134994.26,785,5-10 years
1727,2026-07-04,5818.8,18.7,12,Approved,130996.91,809,<1 year
1728,2029-06-18,1337.18,19.03,24,Rejected,97849.51,634,1-3 years
1729,2024-07-29,45523.44,5.33,24,Defaulted,55479.45,709,5-10 years
1730,2026-07-31,13846.69,8.23,12,Approved,81809.33,353,5-10 years
1731,2031-09-28,41074.01,3.69,48,Rejected,73078.14,374,3-5 years
1732,2031-09-14,49967.84,18.9,24,Approved,65970.34,648,5-10 years
1733,2030-06-27,10965.85,10.91,36,Approved,33362.13,692,1-3 years
1734,2029-01-21,13625.95,20.41,36,Defaulted,90604.81,456,>10 years
1735,2029-06-10,33311.56,10.79,12,Pending,59238.07,380,5-10 years
1736,2032-10-08,48289.71,21.12,60,Approved,105905.03,507,3-5 years
1737,2027-07-14,45832.81,6.31,12,Pending,61496.51,385,<1 year
1738,2027-04-29,25392.34,7.23,12,Approved,76051.25,746,1-3 years
1739,2029-01-12,39857.96,10.83,48,Approved,26806.85,476,<1 year
1740,2026-10-22,7219.42,12.28,48,Defaulted,149029.95,810,5-10 years
1741,2027-10-09,48883.19,11.0,60,Pending,85989.35,438,>10 years
1742,2028-04-09,48235.49,19.92,60,Rejected,23150.89,401,3-5 years
1743,2024-09-11,8604.58,5.58,60,Approved,90359.99,772,1-3 years
1744,2026-06-28,15321.44,11.05,60,Pending,133146.02,841,>10 years
1745,2025-08-14,5457.67,21.5,60,Defaulted,120431.78,493,1-3 years
1746,2028-04-23,13950.02,,12,Approved,111117.87,785,3-5 years
1747,2033-10-28,40889.81,23.76,12,Approved,38130.41,613,3-5 years
1748,2029-07-09,19226.62,24.71,36,Pending,105505.82,546,5-10 years
1749,2025-08-26,4875.65,5.4,36,Approved,119618.79,737,1-3 years
1750,2026-08-09,17440.16,9.76,24,Approved,94414.48,372,5-10 years
1751,2025-11-09,49078.48,11.51,12,Rejected,136057.37,368,1-3 years
1752,2023-10-09,31669.34,20.19,60,Defaulted,56008.67,451,1-3 years
1753,2030-10-15,21099.97,16.31,24,Pending,51478.81,393,<1 year
1754,2025-11-24,8743.66,,48,Rejected,133044.07,734,5-10 years
1755,2034-10-03,49315.75,19.79,12,Rejected,101301.77,730,1-3 years
1756,2029-12-07,41132.03,06.04,36,Rejected,20188.14,756,1-3 years
1757,2033-06-25,14433.13,21.41,12,Approved,-65907.08,729,3-5 years
1758,2025-10-05,3968.4,18.67,12,Approved,131521.28,528,<1 year
1759,2026-05-14,3302.97,15.91,12,Approved,23551.54,329,3-5 years
1760,2025-11-01,6458.72,22.63,12,Approved,20422.23,-50,5-10 years
1761,2035-07-22,29248.04,18.56,48,Approved,56563.71,476,5-10 years
1762,2023-10-03,46473.79,7.84,36,Approved,138820.0,708,1-3 years
1763,2030-07-03,25088.8,12.74,12,Approved,137192.09,536,>10 years
1764,2029-04-08,42225.8,14.12,48,Approved,87439.05,577,3-5 years
1765,2026-05-24,22571.39,4.69,24,Pending,91920.79,376,5-10 years
1766,2023-05-06,35574.89,24.02,12,Approved,63161.04,839,1-3 years
1767,2034-02-17,36727.7,6.26,48,Rejected,51685.77,457,1-3 years
1768,2034-10-22,9111.2,18.5,60,Approved,125978.84,466,3-5 years
1769,2033-08-04,18380.19,14.38,24,Rejected,33818.33,484,1-3 years
1770,2026-04-23,32046.46,04.05,36,Defaulted,83356.07,688,<1 year
1771,2031-11-24,3999.48,23.38,12,Rejected,102471.64,311,>10 years
1772,2025-07-07,18396.24,21.81,12,Rejected,33478.44,468,3-5 years
1773,2033-09-28,26972.57,14.77,48,Defaulted,87548.92,725,3-5 years
1774,2035-01-21,49813.11,8.42,36,Approved,95077.77,748,3-5 years
1775,2028-05-23,23989.41,6.11,60,Defaulted,116524.49,793,1-3 years
1776,2030-08-25,40894.81,11.31,24,Rejected,50528.69,748,1-3 years
1777,2025-06-10,21887.33,8.99,36,Rejected,58132.58,405,3-5 years
1778,2035-03-29,39921.34,14.39,12,Approved,94037.75,726,3-5 years
1779,2028-07-26,29973.03,24.28,48,Pending,147806.43,397,<1 year
1780,2026-09-26,44386.47,15.86,60,Pending,48274.11,525,5-10 years
1781,2023-05-09,20841.66,22.63,48,Pending,148167.5,746,<1 year
1782,2025-10-11,30413.07,17.49,24,Rejected,112864.53,775,3-5 years
1783,2027-12-05,31685.92,13.72,36,Approved,127390.67,502,1-3 years
1784,2035-08-18,21160.46,21.87,48,Approved,31653.36,596,1-3 years
1785,2027-02-27,7643.45,13.63,48,Approved,59054.62,315,3-5 years
1786,2034-06-13,5131.19,22.18,12,Approved,27505.72,677,5-10 years
1787,2026-04-13,,9.77,48,Approved,68301.11,635,>10 years
1788,2033-08-09,43739.95,6.27,60,Approved,147567.66,319,>10 years
1789,2029-10-10,12205.51,21.89,36,Approved,33685.5,739,<1 year
1790,2032-07-17,10969.58,16.13,24,Approved,-93108.46,543,5-10 years
1791,2034-02-01,36933.75,22.62,48,Approved,20789.18,543,>10 years
1792,2033-03-08,16340.8,23.66,60,Defaulted,112648.77,691,5-10 years
1793,2023-10-30,25549.21,4.65,24,Rejected,45635.05,561,1-3 years
1794,2033-10-27,8544.3,14.27,60,Rejected,36845.99,519,1-3 years
1795,2035-10-28,48007.41,11.56,48,Approved,63812.32,307,5-10 years
1796,2025-09-13,42653.28,16.96,48,Pending,120235.76,745,3-5 years
1797,2028-02-07,43257.59,20.56,36,Pending,33859.7,313,>10 years
1798,2035-02-27,20635.3,9.53,12,Defaulted,49879.07,686,>10 years
1799,2036-06-10,38236.88,15.47,60,Rejected,21100.37,321,1-3 years
1800,2031-05-31,7621.87,18.74,12,Pending,145893.93,524,<1 year
1801,2031-07-22,926.64,6.39,12,Rejected,96978.93,534,>10 years
1802,2026-08-20,1488.66,21.0,24,Approved,113586.95,640,1-3 years
